PRODUCT,PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,BUYER PAY INDEX (COMMODITY REFERENCE PRICE),CFTC REPORTABLE LEVEL,PAIRED SWAP BASIS,POSITION TYPE INDICATOR,SECTION 20.2 COVERED FUTURES CONTRACT,SELLER PAY INDEX (COMMODITY REFERENCE PRICE)
NYISO Zone A Day-Ahead Off-Peak Daily Fixed Price Future,553,APO,APO,QC,NO13,Electricity,Pwr EastOPDaily,ICEU,IFED,,,,,,
ANR SE (Louisiana) Swing Future,3161,APS,APS,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Jet Fuel Diff - Jet CIF NWE Cargoes vs Gasoil 1st Line Balmo Future,2089,AQA-AQZ; ARA-ARE,JES,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Cross Currency Pairs Australian Dollar/New Zealand Dollar Futures,776,AR,AR ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Crude Diff - Argus East Siberian Pacific Ocean (ESPO) Diff Future,3090,ARF,ARF,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Argus East Siberian Pacific Ocean (ESPO) Future,3091,ARG,ARG,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Argus LLS Future,3088,ARH,ARH,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Crude Diff - Argus LLS vs Brent 1st Line Future,3082,ARI,ARI,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Crude Diff - Argus LLS vs Dated Brent Future,3083,ARJ,ARJ,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Crude Diff - Argus LLS vs WTI 1st Line Future,3084,ARK,ARK,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Crude Diff - Argus LLS vs WTI Trade Month Future,3085,ARL,ARL,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Argus Mars Future,3089,ARM,ARM,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Crude Diff - Argus Mars vs Brent 1st Line Future,3086,ARN,ARN,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Crude Diff - Argus Mars vs WTI 1st Line Future,3087,ARO,ARO,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Calendar One Time Option on PJM AEP Dayton Hub Real-Time Peak Calendar Year One Time Fixed Price Future,3549,ARY,MSO,,,Electricity,Pwr East Term,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Real-Time Peak Calendar Year One Time Fixed Price Future,3549,ARY,MSO,,,Electricity,Pwr East Term,ICEU,IFED,,,,,,
Calendar One Time Option on PJM AEP Dayton Hub Real-Time Off-Peak Calendar Year One Time Fixed Price Future,3551,ARZ,AOD,,,Electricity,Pwr East OPTerm,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Real-Time Off-Peak Calendar Year One Time Fixed Price Future,3551,ARZ,AOD,,,Electricity,Pwr East OPTerm,ICEU,IFED,,,,,,
Cross Currency Pairs Australian Dollar/Canadian Dollar Futures,772,AS,AS ,,,Currency,FOREX,ICUS,IFUS,,,,,,
AB NIT Swing Future,501,ASS,ASS,YV,QM79,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Rotterdam Coal (supporting Cal 1x Options),3539,ATC,ATW,IATC,,Coal,ICE Coal ARA,ICEU,IFEU,,,,,,
Rotterdam Coal Cal 1x Options,3539,ATC,ATW,IATC,,Coal,ICE Coal ARA,ICEU,IFEU,,,,,,
Rotterdam Coal (supporting Qtr 1x Options),3540,ATQ,ATW,IATQ,,Coal,ICE Coal ARA,ICEU,IFEU,,,,,,
Rotterdam Coal Qtr 1x Options,3540,ATQ,ATW,IATQ,,Coal,ICE Coal ARA,ICEU,IFEU,,,,,,
Rotterdam Coal Futures,517,ATW,ATW,PK,NN89,Coal,ICE Coal ARA,ICEU,IFEU,,,,,,
Rotterdam Coal Options,517,ATW,ATW,PK,NN89,Coal,ICE Coal ARA,ICEU,IFEU,,,,,,
Fuel Oil 3.5% FOB Med Cargoes Balmo Future,2081,AUA-AUZ; AVA-AVE,FON,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil 1% FOB Rotterdam Barges Balmo Future,2080,AWA-AWZ; AXA-AXE,FOC,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Argus Euro-Bob Oxy FOB Rotterdam Barges Balmo Future,2084,AYA-AYZ; AZA-AZE,AEP,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
ICE Brent Crude American-style Option,598,B,BRN,BC,952,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
ICE Brent Crude Futures,254,B,BRN,BC,952,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
ICE Brent Crude Futures Minute Marker,385,B,BRN,BC,952,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
ICE Brent Crude Futures Singapore Minute Marker,1773,B,BRN,BC,952,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
ICE Brent Crude Futures TAS,257,B,BRN,BC,952,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
Fuel Oil Mini 3.5% FOB Rotterdam Barges Future (100MT),4173,BAM,BAM,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil 3.5% FOB Rotterdam Barges Average Price Option,3977,BAR,BAR,PG,NM88,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil 3.5% FOB Rotterdam Barges Future,22,BAR,BAR,PG,NM88,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Crude Diff - Dated Brent vs Brent 1st Line Balmo Future,1518,BBA-BBZ; BCA-BCE,DBG,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
DAILY BRENT CFD VS FIRST MONTH FUTURE,4356,BFM,BFM,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
PJM BGE Zone Day-Ahead Peak Fixed Price Future,2582,BGY,BGY,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
PJM BGE Zone Day-Ahead Off-Peak Fixed Price Future,2579,BGZ,BGZ,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Fuel Oil 3.5% CIF Med Cargoes Balmo Future ,4083,BHA-BIE,CIL,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil 380 CST Singapore Balmo Future,1517,BJA-BJZ; BKA-BKE,SYT,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil 180 CST Singapore Balmo Future,1516,BLA-BLZ; BMA-BME,SZT,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Brent Bullet Future,187,BNB,BRN,BN,SG25,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Brent NX 1st Line Future,3601,BNL,BRN,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Brent NX Average Price Option,3601,BNL,BRN,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Jet Fuel Crack - Gulf Coast Jet Fuel vs Brent NX 1ST Line Future,3715,BNU,GUB,7L-J1,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
ICE Brent NX Crude Futures,3566,BNX,BRN,,,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
ICE Brent NX Crude Option,3566,BNX,BRN,,,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
Ice Brent NX Crude Futures TAS,3598,BNX,BRN,,,Crude Oil and Refined Products,IPE e-Brent,ICEU,IFEU,,,,,,
Fuel Oil Crack - Fuel Oil 3.5% FOB Rotterdam Barges vs Brent 1st Line Future (in Bbls),4178,BOA,BOA,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Fuel Oil Crack - Fuel Oil 3.5% FOB Rotterdam Barges vs Brent 1st Line Future,516,BOB,BOB,PA,NM84,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
Crude Diff - Brent 1st Line vs Dubai 1st Line Future,14,BOD,BOD,BO,SF34,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Singapore Jet Kerosene Balmo Future,1520,BQA-BQZ; BRA-BRE,SBJ,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Brent 1-Month Calendar Spread Option,2389,BRM,BRM,HW,SR20,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Crude Diff - Brent 1-Month Calendar Spread Future,2389,BRM,BRM,HW,SR20,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Brent 12-Month Calendar Spread Option,2389,BRZ,BRZ,HX,TO32,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Crude Diff - Brent 12-Month Calendar Spread Future,2390,BRZ,BRZ,HX,TO32,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
DAILY BRENT CFD VS SECOND MONTH FUTURE,4357,BSM,BSM,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Crude Diff - WTI 1st Line vs Brent 1st Line Future,1465,BTD,BTD,BT,QH57,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
DAILY BRENT CFD VS THIRD MONTH FUTURE,4358,BTM,BTM,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
EU-Style Brent Future,1745,BUL,BRN,BU,SG26,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
EU-Style Brent Option,1745,BUL,BRN,BU,SG26,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Singapore 0.5% Gasoil Balmo Future,1519,BVA-BVZ; BWA-BWE,SBG,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Barley Futures,3657,BW,BW,,,Grains - Canada,Barley,ICCA,IFCA,,,,,,
Barley Options,3657,BW,BW,,,Grains - Canada,Barley,ICCA,IFCA,,,,,,
Fuel Oil 3.5% FOB Rotterdam Barges Balmo Future,1896,BXA-BXZ; BYA-BYE,BAS,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
EUA Futures,390,C,ECF,,,Emissions,EUA,ICEU,IFEU,,,,,,
EUA Futures Options,1233,C,ECF,,,Emissions,EUA,ICEU,IFEU,,,,,,
California Carbon Allowance Vintage 2013 Future,3418,CAL,CAL,,,Physical Environmental,CCA,ICEU,IFED,,,,,,
Option on California Carbon Allowance Future Vintage 2013,3418,CAL,CAL,,,Physical Environmental,CCA,ICEU,IFUS,,,,,,
California Carbon Allowance Vintage 2014 Future,3419,CAM,CAM,,,Physical Environmental,CCA,ICEU,IFED,,,,,,
Option on California Carbon Allowance Future Vintage 2014,3419,CAM,CAM,,,Physical Environmental,CCA,ICEU,IFUS,,,,,,
California Carbon Allowance Vintage 2015 Future,3420,CAN,CAN,,,Physical Environmental,CCA,ICEU,IFED,,,,,,
Option on California Carbon Allowance Future Vintage 2015,3420,CAN,CAN,,,Physical Environmental,CCA,ICEU,IFUS,,,,,,
California Carbon Allowance Vintage 2016 Future,4578,CAO,CAO,,,Physical Environmental,CCA,ICEU,IFED,,,,,,
OPTION ON CALIFORNIA CARBON ALLOWANCE FUTURE VINTAGE 2016,4578,CAO,CAO,,,Physical Environmental,CCA,ICEU,IFUS,,,,,,
Fuel Oil 1% FOB NWE Cargoes Future,23,CAR,CAR,OZ,NM83,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Cocoa Calendar Spread Options,4133,CC,CC,,,Cocoa,Cocoa,ICUS,IFUS,,,,,,
Cocoa Futures,578,CC,CC ,CY,2050,Cocoa,Cocoa,ICUS,IFUS,,,,,,
Cocoa Futures TAMM,2021,CC,CC ,CY,2050,Cocoa,Cocoa,ICUS,IFUS,,,,,,
Cocoa Futures TAS,1200,CC,CC ,CY,2050,Cocoa,Cocoa,ICUS,IFUS,,,,,,
Cocoa Options,1234,CC,CC ,CY,2050,Cocoa,Cocoa,ICUS,IFUS,,,,,,
Climate Action Reserve Vintage 2009 Future,3399,CCH,CCH,,,Physical Environmental,CAR,ICEU,IFED,,,,,,
Climate Action Reserve Vintage 2010 Future,3400,CCI,CCI,,,Physical Environmental,CAR,ICEU,IFED,,,,,,
Climate Action Reserve Vintage 2011 Future,3401,CCJ,CCJ,,,Physical Environmental,CAR,ICEU,IFED,,,,,,
Climate Action Reserve Vintage 2012 Future,3402,CCK,CCK,,,Physical Environmental,CAR,ICEU,IFED,,,,,,
Climate Action Reserve Future,3398,CCS,CCS,,,Physical Environmental,CAR,ICEU,IFED,,,,,,
Option on Climate Action Reserve Future,3398,CCS,CCS,,,Physical Environmental,CAR,ICEU,IFUS,,,,,,
Diesel 10ppm FOB Rotterdam Barges Balmo Future,2916,CDA-CDZ; CEA-CEE,DOS,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
PJM ComEd Zone Day-Ahead Off-Peak Fixed Price Future,2855,CEO,CEO,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
PJM ComEd Zone Day-Ahead Peak Fixed Price Future,2852,CEP,CEP,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
CER Futures,1230,CER,CER,CE,PH63,Emissions,CER,ICEU,IFEU,,,,,,
CER Futures Options,1248,CER,CER,CE,PH63,Emissions,CER,ICEU,IFEU,,,,,,
CER Daily Futures,1657,CES,CES,,,Emissions,CER Daily,ICEU,IFEU,,,,,,
ICE EUAA UK Auction Daily Futures,4269,CET,CET,,,Emissions,EUAA UK Auction,ICEU,IFEU,,,,,,
EUAA Futures,3840,CEU,CEU,,,Emissions,EUAA,ICEU,IFEU,,,,,,
Weekly CFD - Brent CFD vs Second Month Future,1514,CFD,CFD,CD,QJ69,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Daily CFD - Brent CFD vs Second Month Future,2576,CFE,CFE,,,Crude Oil and Refined Products,Crude Daily bbl,ICEU,IFEU,,,,,,
Gasoil Diff - Gasoil 0.1% CIF NWE Cargoes vs Gasoil 1st Line Future,1470,CFG,CFG,CF,QH69,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Monthly CFD - Monthly Brent CFD vs Second Month Future,1756,CFM,CFM,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Daily CFD - Daily Dated Brent Future,2574,CFN,CFN,,,Crude Oil and Refined Products,Crude Daily bbl,ICEU,IFEU,,,,,,
Weekly CFD - Brent CFD vs First Month Future,1754,CFO,CFO,B1,SF35,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Daily CFD - Brent CFD vs First Month Future,2575,CFP,CFP,,,Crude Oil and Refined Products,Crude Daily bbl,ICEU,IFEU,,,,,,
Daily CFD - Brent CFD vs Third Month Future,2577,CFR,CFR,,,Crude Oil and Refined Products,Crude Daily bbl,ICEU,IFEU,,,,,,
"Carbon Financial Instrument, United States, Future",3403,CFS,CFS,,,Physical Environmental,CFI-US,ICEU,IFED,,,,,,
"Option on Carbon Financial Instrument, United States, Future",3403,CFS,CFS,,,Physical Environmental,CFI-US,ICEU,IFUS,,,,,,
Weekly CFD - Brent CFD vs Third Month Future,1755,CFT,CFT,B3,SF36,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Crude Diff - Urals North vs Dated Brent CFD Future,3560,CFU,CFU,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
CG Mainline Basis Future,2071,CGB,CGB,HK,SR08,Natural Gas,Basis Master,ICEU,IFED,,,,,,
CG-Mainline Index Future,3961,CGI,CGI,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
ANR SE (Louisiana) Basis Future  ,1881,CGM,CGM,AZ,SN09,Natural Gas,Basis Master,ICEU,IFED,,,,,,
CG-Mainline Swing Future,3962,CGR,CGR,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
TCO Swing Future,472,CGS,CGS,YZ,QM83,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Continuous Commodity Index Futures,1196,CI,CI ,,,Commodity Indexes,Commodity Index,ICUS,IFUS,,,,,,
Fuel Oil Diff - Fuel Oil 1% CIF Med Cargoes vs 1% FOB NWE Cargoes Future,3152,CIB,CIB,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Fuel Oil 1% CIF NWE Cargoes Future,3151,CID,CID,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil 1% CIF Med Cargoes Future,2077,CIF,CIF,4R,T038,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 1% CIF NWE Cargoes vs 1% FOB NWE Cargoes Future,3153,CIH,CIH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
 Fuel Oil - 3.5% CIF MED Cargoes Futures,4082,CIM,CIM,ZT,1295,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
MISO Indiana Hub Real-Time Peak Fixed Price Future,375,CIN,CIN,CN,938,Electricity,Pwr East Term,ICEU,IFED,,,,,,
Option on MISO Indiana Hub Real-Time Peak Fixed Price Future,375,CIN,CIN,CN,938,Electricity,Pwr East Term,ICEU,IFED,,,,,,
Chicago Index Future,462,CIS,CIS,Y7,QM88,Natural Gas,Index Master,ICEU,IFED,,,,,,
 Fuel Oil 1% CIF Med Cargoes Balmo Future,2078,CJA-CJZ; CKA-CKE,CIG,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Brent 1st Line Balmo Future,2087,CMA-CMZ; CNA-CNE,BSQ,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
CG Onshore Basis Future,450,CON,CON,Y2,NG71,Natural Gas,Basis Master,ICEU,IFED,,,,,,
CAISO Palo Verde Day-Ahead Peak Daily Fixed Price Future,1901,CPC,CPC,AU,SN04,Electricity,Pwr W DailyMini,ICEU,IFED,,,,,,
MISO Indiana Hub Real-Time Off-Peak Fixed Price Future,376,CPO,CPO,OV,NH34,Electricity,Pwr East OPTerm,ICEU,IFED,,,,,,
CIG Rockies Index Future,3050,CRC,CRC,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
CFR South China Coal Futures,4348,CRF,CRF,,,Coal,Coal CFR SChina,ICEU,IFEU,,,,,,
CIG Rockies Basis Future,442,CRI,CRI,OA,NE93,Natural Gas,Basis Master,ICEU,IFED,,,,,,
CIG Rockies Swing Future,3058,CRS,CRS,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Chicago Swing Future,466,CSS,CSS,YU,QM78,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Cotton No. 2 Calendar Spread Options,4141,CT,CT,,,Cotton,Cotton No 2,ICUS,IFUS,,,,,,
Cotton No. 2 Futures,588,CT,CT ,28,2205,Cotton,Cotton No 2,ICUS,IFUS,,,,,,
Cotton No. 2 Futures TAS,1187,CT,CT ,28,2205,Cotton,Cotton No 2,ICUS,IFUS,,,,,,
Cotton No. 2 Options,1236,CT,CT ,28,2205,Cotton,Cotton No 2,ICUS,IFUS,,,,,,
Centerpoint Index Future,3049,CTI,CTI,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
Centerpoint Basis Future,546,CTP,CTP,PR,NO04,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Connecticut Compliance Renewable Energy Certificates Class 1 Future,3404,CTR,CTR,,,Physical Environmental,REC-CT C1,ICEU,IFED,,,,,,
Centerpoint Swing Future,3057,CTS,CTS,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Gasoil 1st Line Balmo Future,2088,CUA-CUZ; CVA-CVE,GSQ,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoline Crack-Argus Euro-Bob Oxy FOB Rotterdam Barges vs Brent 1st Line Balmo Future,2085,CWA-CWZ; CXA-CXE,AES,,,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
Diesel Diff - Diesel 10ppm (UK) CIF NWE Cargoes vs Gasoil 1st Line Balmo Future,2913,DAA-DAZ; DBA-DBE,DCV,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Crude Diff - Dated Brent vs Brent 1st Line Future,15,DBF,DBF,PI,NM89,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Dubai 1st Line Future,753,DBI,DBI,DB,OU44,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
DAILY DATED BRENT VS BRENT 1ST LINE FUTURE,4359,DBL,DBL,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Diesel 10ppm CIF NWE Cargoes Future,2914,DCC,DCC,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
